Temperature (K),Pressure (bar),Density (kg/m3),Cv (J/mol*K),Cp (J/mol*K),Viscosity (uPa*s),Specific heat
300,0.1,0.11231,20.812,29.131,17.878,1.399721315
300,0.11,0.12354,20.812,29.131,17.878,1.399721315
300,0.12,0.13477,20.812,29.132,17.879,1.399769364
300,0.13,0.146,20.813,29.132,17.879,1.399702109
300,0.14,0.15723,20.813,29.132,17.879,1.399702109
300,0.15,0.16847,20.813,29.133,17.879,1.399750156
300,0.16,0.1797,20.813,29.133,17.879,1.399750156
300,0.17,0.19093,20.813,29.134,17.879,1.399798203
300,0.18,0.20216,20.813,29.134,17.879,1.399798203
300,0.19,0.21339,20.813,29.135,17.879,1.39984625
300,0.2,0.22462,20.813,29.135,17.88,1.39984625
300,0.21,0.23585,20.813,29.136,17.88,1.399894297
300,0.22,0.24709,20.813,29.136,17.88,1.399894297
300,0.23,0.25832,20.813,29.137,17.88,1.399942344
300,0.24,0.26955,20.813,29.137,17.88,1.399942344
300,0.25,0.28078,20.813,29.137,17.88,1.399942344
300,0.26,0.29201,20.813,29.138,17.88,1.399990391
300,0.27,0.30325,20.814,29.138,17.881,1.399923129
300,0.28,0.31448,20.814,29.139,17.881,1.399971173
300,0.29,0.32571,20.814,29.139,17.881,1.399971173
300,0.3,0.33694,20.814,29.14,17.881,1.400019218
300,0.31,0.34817,20.814,29.14,17.881,1.400019218
300,0.32,0.35941,20.814,29.141,17.881,1.400067262
300,0.33,0.37064,20.814,29.141,17.881,1.400067262
300,0.34,0.38187,20.814,29.142,17.881,1.400115307
300,0.35,0.3931,20.814,29.142,17.882,1.400115307
300,0.36,0.40433,20.814,29.142,17.882,1.400115307
300,0.37,0.41557,20.814,29.143,17.882,1.400163352
300,0.38,0.4268,20.814,29.143,17.882,1.400163352
300,0.39,0.43803,20.814,29.144,17.882,1.400211396
300,0.4,0.44926,20.814,29.144,17.882,1.400211396
300,0.41,0.4605,20.815,29.145,17.882,1.400192169
300,0.42,0.47173,20.815,29.145,17.882,1.400192169
300,0.43,0.48296,20.815,29.146,17.883,1.400240211
300,0.44,0.49419,20.815,29.146,17.883,1.400240211
300,0.45,0.50543,20.815,29.147,17.883,1.400288254
300,0.46,0.51666,20.815,29.147,17.883,1.400288254
300,0.47,0.52789,20.815,29.147,17.883,1.400288254
